dataset_type,dataset_shuffle,k_folds_splits,k_folds_stratified,knn_k_neighbours,knn_voting_type,knn_metric,f_score
iris,False,2,False,1,uniform,euclidean,0.1564625850340136
iris,False,2,False,1,uniform,manhattan,0.1564625850340136
iris,False,2,False,1,uniform,chebyshev,0.1616161616161616
iris,False,2,False,1,distance,euclidean,0.1564625850340136
iris,False,2,False,1,distance,manhattan,0.1564625850340136
iris,False,2,False,1,distance,chebyshev,0.1616161616161616
iris,False,2,False,1,custom,euclidean,0.1564625850340136
iris,False,2,False,1,custom,manhattan,0.1564625850340136
iris,False,2,False,1,custom,chebyshev,0.1616161616161616
iris,False,2,False,2,uniform,euclidean,0.1616161616161616
iris,False,2,False,2,uniform,manhattan,0.1616161616161616
iris,False,2,False,2,uniform,chebyshev,0.16415410385259632
iris,False,2,False,2,distance,euclidean,0.1564625850340136
iris,False,2,False,2,distance,manhattan,0.1564625850340136
iris,False,2,False,2,distance,chebyshev,0.1616161616161616
iris,False,2,False,2,custom,euclidean,0.15905245346869712
iris,False,2,False,2,custom,manhattan,0.15905245346869712
iris,False,2,False,2,custom,chebyshev,0.15624999999999997
iris,False,2,False,3,uniform,euclidean,0.15905245346869712
iris,False,2,False,3,uniform,manhattan,0.15905245346869712
iris,False,2,False,3,uniform,chebyshev,0.16068376068376067
iris,False,2,False,3,distance,euclidean,0.15905245346869712
iris,False,2,False,3,distance,manhattan,0.15905245346869712
iris,False,2,False,3,distance,chebyshev,0.16068376068376067
iris,False,2,False,3,custom,euclidean,0.15905245346869712
iris,False,2,False,3,custom,manhattan,0.15905245346869712
iris,False,2,False,3,custom,chebyshev,0.16068376068376067
iris,False,2,False,4,uniform,euclidean,0.15905245346869712
iris,False,2,False,4,uniform,manhattan,0.15905245346869712
iris,False,2,False,4,uniform,chebyshev,0.16243654822335027
iris,False,2,False,4,distance,euclidean,0.15905245346869712
iris,False,2,False,4,distance,manhattan,0.1564625850340136
iris,False,2,False,4,distance,chebyshev,0.15726495726495726
iris,False,2,False,4,custom,euclidean,0.1564625850340136
iris,False,2,False,4,custom,manhattan,0.15905245346869712
iris,False,2,False,4,custom,chebyshev,0.1623488773747841
iris,False,2,False,5,uniform,euclidean,0.15905245346869712
iris,False,2,False,5,uniform,manhattan,0.15905245346869712
iris,False,2,False,5,uniform,chebyshev,0.15624999999999997
iris,False,2,False,5,distance,euclidean,0.15905245346869712
iris,False,2,False,5,distance,manhattan,0.15905245346869712
iris,False,2,False,5,distance,chebyshev,0.15624999999999997
iris,False,2,False,5,custom,euclidean,0.15905245346869712
iris,False,2,False,5,custom,manhattan,0.1564625850340136
iris,False,2,False,5,custom,chebyshev,0.15624999999999997
iris,False,2,False,6,uniform,euclidean,0.1616161616161616
iris,False,2,False,6,uniform,manhattan,0.15905245346869712
iris,False,2,False,6,uniform,chebyshev,0.15889464594127808
iris,False,2,False,6,distance,euclidean,0.1564625850340136
iris,False,2,False,6,distance,manhattan,0.15905245346869712
iris,False,2,False,6,distance,chebyshev,0.15624999999999997
iris,False,2,False,6,custom,euclidean,0.1564625850340136
iris,False,2,False,6,custom,manhattan,0.1564625850340136
iris,False,2,False,6,custom,chebyshev,0.15357766143106458
iris,False,2,False,7,uniform,euclidean,0.1564625850340136
iris,False,2,False,7,uniform,manhattan,0.1564625850340136
iris,False,2,False,7,uniform,chebyshev,0.15357766143106458
iris,False,2,False,7,distance,euclidean,0.1564625850340136
iris,False,2,False,7,distance,manhattan,0.15905245346869712
iris,False,2,False,7,distance,chebyshev,0.15889464594127808
iris,False,2,False,7,custom,euclidean,0.1564625850340136
iris,False,2,False,7,custom,manhattan,0.15384615384615383
iris,False,2,False,7,custom,chebyshev,0.15087719298245614
iris,False,2,False,8,uniform,euclidean,0.1616161616161616
iris,False,2,False,8,uniform,manhattan,0.15905245346869712
iris,False,2,False,8,uniform,chebyshev,0.15624999999999997
iris,False,2,False,8,distance,euclidean,0.15905245346869712
iris,False,2,False,8,distance,manhattan,0.15905245346869712
iris,False,2,False,8,distance,chebyshev,0.15624999999999997
iris,False,2,False,8,custom,euclidean,0.15120274914089346
iris,False,2,False,8,custom,manhattan,0.15120274914089346
